concurso,data,bola1,bola2,bola3,bola4,bola5,bola6,bola7,bola8,bola9,bola10,bola11,bola12,bola13,bola14,bola15,ganhadores_15_num,ganhadores_14_num,ganhadores_13_num,ganhadores_12_num,ganhadores_11_num,valor_rateio_15_num,valor_rateio_14_num,valor_rateio_13_num,valor_rateio_12_num,valor_rateio_11_num
1,29/09/2003,18,20,25,23,10,11,24,14,06,02,13,09,05,16,03,5,154,4645,48807,257593,49765.82,689.84,10.00,4.00,2.00
2,06/10/2003,23,15,05,04,12,16,20,06,11,19,24,01,09,13,07,1,184,6232,81252,478188,596323.70,1388.95,10.00,4.00,2.00
3,13/10/2003,20,23,12,08,06,01,07,11,14,04,16,10,09,17,24,2,158,6897,96244,608211,400623.70,2173.36,10.00,4.00,2.00
4,20/10/2003,16,05,25,24,23,08,12,02,17,18,01,10,04,19,13,1,258,9569,123912,706657,902226.02,1498.72,10.00,4.00,2.00
5,27/10/2003,15,13,20,02,11,24,09,16,04,23,25,12,08,19,01,2,472,14736,195636,860992,380017.55,687.49,10.00,4.00,2.00
6,03/11/2003,23,19,01,05,07,21,16,10,15,25,06,02,12,04,17,2,393,14242,162320,888301,489140.06,1066.83,10.00,4.00,2.00
7,10/11/2003,22,04,15,08,16,14,21,23,12,01,25,19,07,10,18,9,1333,25878,206828,967358,104625.29,301.59,10.00,4.00,2.00
8,17/11/2003,19,16,18,09,13,08,05,25,17,10,06,15,01,22,20,1,256,11414,149037,926910,1201958.08,2012.21,10.00,4.00,2.00
9,24/11/2003,21,04,17,05,03,13,16,09,20,24,25,19,11,15,10,3,407,14973,213511,1104328,336053.65,1061.60,10.00,4.00,2.00
10,01/12/2003,24,19,08,23,06,02,20,11,09,03,04,10,05,12,14,0,380,15767,207355,1186563,0.00,1157.08,10.00,4.00,2.00
11,08/12/2003,24,09,08,19,20,22,06,10,11,16,07,25,23,02,12,0,306,14249,216679,1343171,0.00,1855.82,10.00,4.00,2.00
12,15/12/2003,11,05,25,01,09,08,16,04,07,24,17,02,12,14,10,1,631,24400,322557,1607584,3490966.18,771.32,10.00,4.00,2.00
13,22/12/2003,13,06,10,05,08,14,03,11,16,15,09,17,19,07,23,3,714,27399,320961,1501354,269157.25,482.84,10.00,4.00,2.00
14,29/12/2003,14,21,13,19,20,06,09,05,07,23,18,01,15,02,25,3,444,15413,214582,1149506,411362.89,1191.21,10.00,4.00,2.00
15,05/01/2004,23,06,21,04,10,24,16,01,15,02,08,19,12,18,25,22,2059,38038,379994,1198158,27525.68,125.58,10.00,4.00,2.00
16,12/01/2004,24,17,05,08,07,12,13,02,15,10,19,25,23,21,06,9,1086,29005,329409,1471908,83935.77,296.98,10.00,4.00,2.00
17,19/01/2004,13,20,17,01,06,07,02,14,05,09,16,19,03,21,18,1,320,14425,232740,1083387,1427169.94,1911.39,10.00,4.00,2.00
18,26/01/2004,02,23,10,07,11,14,17,22,15,06,24,08,19,20,18,3,309,12373,174339,1079894,487887.61,2030.05,10.00,4.00,2.00
19,02/02/2004,15,17,10,23,11,24,13,14,06,02,08,05,20,16,07,10,818,23594,326913,1333412,82040.05,428.20,10.00,4.00,2.00
20,09/02/2004,04,09,08,24,16,20,03,17,18,19,07,06,23,14,10,9,931,19580,266087,1462294,122882.04,507.17,10.00,4.00,2.00
21,16/02/2004,05,02,01,22,19,08,24,04,25,23,18,20,14,11,16,3,316,13077,203475,1211951,530990.23,2160.45,10.00,4.00,2.00
22,25/02/2004,13,15,05,09,07,10,01,03,22,02,25,14,06,04,12,1,484,55372,152738,868693,1081149.89,957.34,10.00,4.00,2.00
23,01/03/2004,10,11,05,19,18,14,06,04,20,01,08,03,12,16,17,1,541,16248,215670,1187602,1178452.05,933.55,10.00,4.00,2.00
24,08/03/2004,01,19,21,14,02,23,25,05,20,11,07,10,24,17,03,2,585,22453,258724,1286374,662295.89,970.40,10.00,4.00,2.00
25,15/03/2004,04,23,20,02,05,13,07,09,24,03,01,06,14,22,16,0,417,16108,213231,1288117,0.00,1437.73,10.00,4.00,2.00
26,22/03/2004,19,11,07,16,08,21,05,10,20,13,23,09,17,14,22,3,602,22397,317722,1659205,970676.17,1077.21,10.00,4.00,2.00
27,29/03/2004,25,06,22,21,11,24,03,14,12,13,20,08,10,15,18,2,466,15650,216827,1192912,811005.39,1491.73,10.00,4.00,2.00
28,05/04/2004,18,21,11,07,09,03,20,16,14,12,13,17,01,19,10,2,556,22300,307113,1363336,536916.65,827.73,10.00,4.00,2.00
29,12/04/2004,13,14,06,01,24,04,08,05,17,22,21,19,20,09,16,5,456,14375,181147,1203109,317538.81,1492.19,10.00,4.00,2.00
30,19/04/2004,22,02,01,17,08,04,19,20,11,14,06,21,07,23,03,2,345,13480,184916,1136035,813271.34,2020.55,10.00,4.00,2.00
31,26/04/2004,01,03,22,14,21,17,24,15,20,13,02,19,04,25,09,3,250,13005,189635,1161305,503451.70,2589.18,10.00,4.00,2.00
32,03/05/2004,10,14,09,16,15,07,22,06,04,02,01,17,23,11,20,2,384,14060,199525,1175480,706634.89,1577.31,10.00,4.00,2.00
33,10/05/2004,08,20,12,16,10,21,05,02,23,19,11,24,01,14,07,9,1358,35450,328729,1417927,109171.84,308.91,10.00,4.00,2.00
34,17/05/2004,07,19,16,10,23,04,18,11,08,09,20,21,01,02,15,0,407,16589,216210,1359006,0.00,1381.20,10.00,4.00,2.00
35,24/05/2004,12,01,13,23,19,21,17,11,22,06,25,16,14,05,04,1,291,12750,191524,1338198,3155820.04,2715.98,10.00,4.00,2.00
36,31/05/2004,07,23,10,20,01,21,04,08,11,19,17,22,24,14,05,6,1573,40526,453277,1414816,92828.37,151.18,10.00,4.00,2.00
37,07/06/2004,24,20,05,15,10,22,21,03,01,23,11,04,13,08,09,1,283,11976,182815,1220504,1371528.32,2077.02,10.00,4.00,2.00
38,14/06/2004,14,13,08,16,01,10,03,07,15,25,09,02,24,06,22,0,298,12361,181763,1122407,0.00,2240.91,10.00,4.00,2.00
39,21/06/2004,14,15,07,19,08,09,22,17,23,18,02,11,24,13,21,3,915,31607,352332,1626512,888003.60,516.00,10.00,4.00,2.00
40,28/06/2004,10,17,16,12,14,24,08,07,05,20,21,01,13,02,22,9,650,20792,266561,1331593,129462.67,765.33,10.00,4.00,2.00
41,05/07/2004,25,04,23,18,17,19,15,13,09,03,12,20,21,16,02,5,431,16555,218669,1304019,285091.61,1417.43,10.00,4.00,2.00
42,12/07/2004,01,24,12,25,04,03,21,08,11,06,15,22,14,17,05,1,351,14288,205537,1065540,1731431.15,2114.08,10.00,4.00,2.00
43,19/07/2004,23,22,03,17,01,24,14,19,08,06,09,18,20,07,10,2,448,31225,257520,1394077,550553.79,1053.36,10.00,4.00,2.00
44,26/07/2004,23,21,12,19,05,04,06,13,14,10,03,18,24,11,25,0,334,12675,172526,1140441,0.00,2056.93,10.00,4.00,2.00
45,02/08/2004,01,23,14,16,02,19,18,07,21,09,24,25,17,05,03,4,602,23232,353114,1591989,731525.88,941.91,10.00,4.00,2.00
46,09/08/2004,06,14,08,11,24,18,19,23,02,05,04,21,10,01,25,4,825,24898,340899,1460500,308549.13,638.71,10.00,4.00,2.00
47,16/08/2004,06,08,25,18,20,05,11,10,15,13,04,22,03,02,01,16,933,25668,259783,1267303,94685.43,693.26,10.00,4.00,2.00
48,23/08/2004,15,06,21,20,02,17,05,23,11,07,13,16,18,19,22,2,331,13606,193466,1299636,777343.31,2012.97,10.00,4.00,2.00
49,30/08/2004,11,02,24,08,20,16,04,13,19,06,15,22,05,23,21,0,673,22438,282506,1269761,0.00,806.00,10.00,4.00,2.00
50,06/09/2004,02,03,07,25,21,23,10,01,13,11,20,06,12,19,09,1,659,21583,298054,1545777,2776089.01,982.27,10.00,4.00,2.00
51,13/09/2004,08,01,13,14,05,22,21,07,06,23,03,17,20,11,16,2,765,22722,302341,1520867,545229.30,608.58,10.00,4.00,2.00
52,20/09/2004,25,04,16,02,15,21,12,09,11,08,24,23,01,13,22,3,420,24265,205595,1156747,532065.25,1628.77,10.00,4.00,2.00
53,27/09/2004,23,03,07,17,20,14,12,02,18,24,06,01,11,09,19,4,564,19767,262234,1425498,269887.95,820.33,10.00,4.00,2.00
54,04/10/2004,22,08,12,09,21,05,20,04,24,02,07,06,14,16,18,27,2269,40058,272073,1157000,46149.84,234.47,10.00,4.00,2.00
55,11/10/2004,04,06,12,15,02,03,13,16,08,09,07,25,05,18,19,6,682,24083,253488,1334310,213174.74,803.76,10.00,4.00,2.00
56,18/10/2004,19,01,05,14,16,15,17,02,13,22,20,12,23,09,24,0,401,17323,225472,1396834,0.00,1427.28,10.00,4.00,2.00
57,25/10/2004,25,17,08,11,03,06,19,22,21,07,20,01,04,12,02,1,571,33796,229355,1390034,3278857.27,1458.64,10.00,4.00,2.00
58,01/11/2004,20,14,11,13,19,18,15,16,05,03,06,12,17,22,04,6,559,17361,165098,1095964,294482.82,1354.64,10.00,4.00,2.00
59,08/11/2004,06,08,14,01,23,20,03,15,25,11,05,07,13,10,19,2,662,27187,351810,1707263,439884.44,567.39,10.00,4.00,2.00
60,16/11/2004,17,22,16,05,03,02,18,08,25,11,01,19,04,23,24,3,362,30873,165747,1022631,485556.53,1724.55,10.00,4.00,2.00
61,22/11/2004,04,15,01,23,09,14,12,11,13,19,25,16,22,05,20,2,300,14553,253317,1311870,698017.29,1994.34,10.00,4.00,2.00
62,29/11/2004,09,07,01,13,20,11,03,17,25,08,14,16,15,18,24,5,432,19513,234116,1336449,282087.66,1399.25,10.00,4.00,2.00
63,06/12/2004,13,19,22,17,10,04,25,09,24,08,16,11,21,12,20,2,379,15221,209528,1301392,870856.42,1969.52,10.00,4.00,2.00
64,13/12/2004,13,01,10,06,25,23,14,09,07,02,18,08,20,03,17,4,525,20308,280806,1586899,323455.35,1056.18,10.00,4.00,2.00
65,20/12/2004,23,19,10,07,01,17,04,02,22,16,21,15,20,18,25,0,300,13067,218281,1147456,0.00,2735.19,10.00,4.00,2.00
66,27/12/2004,08,10,23,17,11,20,02,14,21,22,15,16,24,04,01,8,834,25470,309390,1631513,434105.49,800.73,10.00,4.00,2.00
67,03/01/2005,07,24,13,20,16,05,21,12,11,08,15,22,23,10,09,4,294,12324,205063,1212285,394429.73,2299.88,10.00,4.00,2.00
68,10/01/2005,09,01,25,16,06,03,05,22,07,12,08,10,02,17,23,2,368,14579,211030,1291340,853689.74,1988.41,10.00,4.00,2.00
69,17/01/2005,23,07,11,15,04,17,20,08,09,24,01,18,21,10,19,4,619,34720,283047,1543014,296233.16,820.40,10.00,4.00,2.00
70,24/01/2005,14,05,09,24,06,15,12,19,20,01,02,25,16,10,03,6,611,19413,230116,1265554,264323.93,1112.42,10.00,4.00,2.00
71,31/01/2005,13,03,22,05,01,21,23,06,08,11,15,18,14,16,09,4,744,21490,276234,1289869,349187.58,804.58,10.00,4.00,2.00
72,09/02/2005,02,16,05,25,23,11,18,13,24,15,01,07,08,12,17,2,485,16561,198957,1178585,571665.39,1010.31,10.00,4.00,2.00
73,14/02/2005,25,17,18,02,16,19,15,13,14,05,21,11,07,01,10,3,401,16615,240646,1388168,404461.66,1296.82,10.00,4.00,2.00
74,21/02/2005,08,25,03,01,02,22,16,04,05,15,06,18,13,23,11,7,861,36320,325482,1342101,165704.35,575.18,10.00,4.00,2.00
75,28/02/2005,10,08,03,16,07,25,20,04,13,06,11,15,17,05,01,2,564,22764,330303,1538522,531264.65,807.39,10.00,4.00,2.00
76,07/03/2005,15,05,12,10,19,16,21,17,25,09,13,01,23,08,03,13,2705,63452,463129,1672037,49566.81,101.71,10.00,4.00,2.00
77,14/03/2005,06,20,04,09,11,17,03,08,02,21,24,14,22,25,18,4,742,21609,228257,1213259,434837.87,1004.63,10.00,4.00,2.00
78,21/03/2005,15,05,17,23,01,08,07,20,16,06,12,18,03,02,13,1,643,23291,317982,1617133,1007644.94,669.06,10.00,4.00,2.00
79,28/03/2005,15,14,17,02,22,24,05,23,20,09,12,18,25,01,03,1,443,17526,230930,1249856,1429789.18,1383.22,10.00,4.00,2.00
80,04/04/2005,17,22,25,07,20,03,18,10,04,01,14,09,02,05,15,1,502,19706,292151,1294632,1387219.92,1184.31,10.00,4.00,2.00
81,11/04/2005,13,02,07,19,17,15,01,04,06,21,03,11,05,16,10,6,866,29787,387171,1619963,160734.67,475.46,10.00,4.00,2.00
82,18/04/2005,04,08,19,12,23,17,13,20,01,18,06,15,05,22,09,4,636,20746,250768,1418972,378128.77,1019.22,10.00,4.00,2.00
83,25/04/2005,23,10,25,20,14,03,01,06,02,11,08,13,12,24,05,3,505,19766,290953,1615749,370701.93,943.79,10.00,4.00,2.00
84,02/05/2005,15,22,08,25,06,04,16,01,02,24,19,20,17,23,12,2,525,21813,263703,1419482,729194.11,1190.52,10.00,4.00,2.00
